accession_number,ddc_number,book,subject_code,author,book_category,book_publisher,book_pages,book_year,book_binding,book_source,price,book_volume,quantity,classesID,book_remarks,rack
113,664 POT,Food Science ,HND-05-RK-2-003,Potter                   ,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,5th,1,0,0,0
114,664 POT,Food Science ,HND-05-RK-2-004,Potter                   ,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,5th,1,0,0,0
115,664 POT,Food Science ,HND-05-RK-2-005,Potter                   ,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,5th,1,0,0,0
116,664 POT,Food Science ,HND-05-RK-2-006,Potter                   ,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,5th,1,0,0,0
117,613.2 ROD,Food Science and Nutrition ,HND-06-RK-2-001,Sunetra Roday,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,2nd,1,0,0,0
118,613.2 ROD,Food Science and Nutrition ,HND-06-RK-2-002,Sunetra Roday,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,2nd,1,0,0,0
194,613.2 ROD,Food Science and Nutrition ,HND-06-RK-2-003,Sunetra Roday,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,2nd,1,0,0,0
119,664 SUB,Food processing and preservating ,HND-07-RK-2-001,G Subbulakshmi,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,1st,1,0,0,0
120,664 SUB,Food processing and preservating ,HND-07-RK-2-002,G Subbulakshmi,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,1st,1,0,0,0
121,664 SUB,Food processing and preservating ,HND-07-RK-2-003,G Subbulakshmi,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,1st,1,0,0,0
122,664 SUB,Food processing and preservating,HND-07-RK-2-004,G Subbulakshmi,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,1st,1,0,0,0
123,664 SUB,Food Sciences (Experiments and Applications) ,HND-08-RK-2-001,Sethi / Rao,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,2nd,1,0,0,0
124,664.001 FRA,Food Microbiology  ,HND-09-RK-2-001,Frazier/Westhoff,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,5th,1,0,0,0
125,664.001 FRA,Food Microbiology  ,HND-09-RK-2-002,Frazier/Westhoff,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,5th,1,0,0,0
126,646 SUR,"Food Science, Nutrition and Safety",HND-10-RK-2-001,Suri Malhotra,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,0,1,0,0,0
127,646 SUR,"Food Science, Nutrition and Safety",HND-10-RK-2-002,Suri Malhotra,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,0,1,0,0,0
128,646 SUR,"Food Science, Nutrition and Safety",HND-10-RK-2-003,Suri Malhotra,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,0,1,0,0,0
129,646 SUR,"Food Science, Nutrition and Safety",HND-10-RK-2-004,Suri Malhotra,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,0,1,0,0,0
130,646 SUR,"Food Science, Nutrition and Safety",HND-10-RK-2-005,Suri Malhotra,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,0,1,0,0,0
131,646 SUR,"Food Science, Nutrition and Safety",HND-10-RK-2-006,Suri Malhotra,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,0,1,0,0,0
132,646 SUR,"Food Science, Nutrition and Safety",HND-10-RK-2-007,Suri Malhotra,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,0,1,0,0,0
133,646 SUR,"Food Science, Nutrition and Safety",HND-10-RK-2-008,Suri Malhotra,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,0,1,0,0,0
134,646 SUR,"Food Science, Nutrition and Safety",HND-10-RK-2-009,Suri Malhotra,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,0,1,0,0,0
135,646 SUR,"Food Science, Nutrition and Safety",HND-10-RK-2-010,Suri Malhotra,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,0,1,0,0,0
136,662.8 BAN,Food and Nutrition ,HND-11-RK-2-001,Shrinandon Bansal                   ,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,3rd,1,0,0,0
137,662.8 BAN,Food and Nutrition ,HND-11-RK-2-002,Shrinandon Bansal                   ,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,3rd,1,0,0,0
138,662.8 BAN,Food and Nutrition ,HND-11-RK-2-003,Shrinandon Bansal                   ,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,3rd,1,0,0,0
139,613.2 SHA,Nutrition for B.Sc. Nursing Students,HND-12-RK-2-001,Deepti Chauhaan,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,0,1,0,0,0
140,660.6 PUR,Biotechnology Fundamentals and Applications ,HND-13-RK-2-002,Purohit,BS-Human Nutrition & Dietetics,Agrobios,0,2010,HB,Purchase,0,4th,1,0,0,0
141,612.39 DEP,Nutrition & Diet Therapy,HND-14-RK-2-001,DeBruyne Pinna Whitney,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,0,1,0,0,0
142,612.39 DEP,Nutrition & Diet Therapy,HND-14-RK-2-002,DeBruyne Pinna Whitney,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,0,1,0,0,0
143,612.39 DEP,Nutrition & Diet Therapy,HND-14-RK-2-003,DeBruyne Pinna Whitney,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,0,1,0,0,0
144,612.39 DEP,Nutrition & Diet Therapy,HND-14-RK-2-004,DeBruyne Pinna Whitney,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,0,1,0,0,0
145,664.001 FRA,Food Microbiology  ,HND-15-RK-2-001,Martin R Adams and Maurice O Moss,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,3rd,1,0,0,0
146,664.001 FRA,Food Microbiology  ,HND-15-RK-2-002,Martin R Adams and Maurice O Moss,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,3rd,1,0,0,0
147,664.001 FRA,Food Microbiology  ,HND-15-RK-2-003,Martin R Adams and Maurice O Moss,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,3rd,1,0,0,0
148,664.001 FRA,Food Microbiology  ,HND-15-RK-2-004,Martin R Adams and Maurice O Moss,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,3rd,1,0,0,0
149,664.001 FRA,Food Microbiology  ,HND-15-RK-2-005,Martin R Adams and Maurice O Moss,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,3rd,1,0,0,0
150,613.2 MAH,Krause's Food & The Nutrition Care Process ,HND-16-RK-2-001,L Kathleen Mahan,BS-Human Nutrition & Dietetics,Elsevier,0,0,PB,Purchase,0,14th,1,0,0,0
151,613.2 MAH,Krause's Food & The Nutrition Care Process ,HND-16-RK-2-002,L Kathleen Mahan,BS-Human Nutrition & Dietetics,Elsevier,0,0,PB,Purchase,0,14th,1,0,0,0
152,613.2 MAH,Krause's Food & The Nutrition Care Process ,HND-16-RK-2-003,L Kathleen Mahan,BS-Human Nutrition & Dietetics,Elsevier,0,0,PB,Purchase,0,14th,1,0,0,0
153,613.2 MAH,Krause's Food & The Nutrition Care Process ,HND-16-RK-2-004,L Kathleen Mahan,BS-Human Nutrition & Dietetics,Elsevier,0,0,PB,Purchase,0,14th,1,0,0,0
154,613.2 ROL,Understanding Normal and Clinical Nutrition ,HND-17-RK-2-001,Sharon Rady Rolfes Kathryan Pinna,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,8th,1,0,0,0
155,613.2 ROL,Understanding Normal and Clinical Nutrition ,HND-17-RK-2-002,Sharon Rady Rolfes Kathryan Pinna,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,8th,1,0,0,0
156,664.001 ADA,Food Microbiology ,HND-18-RK-2-001,Adams Moss & McClure,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,4th,1,0,0,0
157,660.6 SMI,Biotechnology ,HND-19-RK-2-001,John E Smith,BS-Human Nutrition & Dietetics,Combridge,0,2011,PB,Purchase,0,5th,1,0,0,0
158,660.6 SMI,Biotechnology ,HND-19-RK-2-002,John E Smith,BS-Human Nutrition & Dietetics,Combridge,0,2011,PB,Purchase,0,5th,1,0,0,0
159,660.6 SMI,Biotechnology ,HND-19-RK-2-003,John E Smith,BS-Human Nutrition & Dietetics,Combridge,0,2011,PB,Purchase,0,5th,1,0,0,0
0,613.2 JAV,Elements of Food & Nutrition ,HND-20-RK-2-001,Dr J A Awan,BS-Human Nutrition & Dietetics,0,0,2018,PB,Purchase,0,0,1,0,0,0
161,613.2 JAV,Elements of Food & Nutrition ,HND-20-RK-2-002,Dr J A Awan,BS-Human Nutrition & Dietetics,0,0,2018,PB,Purchase,0,0,1,0,0,0
162,613.2 JAV,Elements of Food & Nutrition ,HND-20-RK-2-003,Dr J A Awan,BS-Human Nutrition & Dietetics,0,0,2018,PB,Purchase,0,0,1,0,0,0
163,613.2 JAV,Elements of Food & Nutrition ,HND-20-RK-2-004,Dr J A Awan,BS-Human Nutrition & Dietetics,0,0,2018,PB,Purchase,0,0,1,0,0,0
164,613.2 JAV,Elements of Food & Nutrition ,HND-20-RK-2-005,Dr J A Awan,BS-Human Nutrition & Dietetics,0,0,2018,PB,Purchase,0,0,1,0,0,0
165,664  JAV,Food processing and preservating ,HND-21-RK-2-001,Dr J A Awan,BS-Human Nutrition & Dietetics,0,0,2011,PB,Purchase,0,0,1,0,0,0
166,664  JAV,Food processing and preservating ,HND-21-RK-2-002,Dr J A Awan,BS-Human Nutrition & Dietetics,0,0,2012,PB,Purchase,0,0,1,0,0,0
167,664  JAV,Food processing and preservating ,HND-21-RK-2-003,Dr J A Awan,BS-Human Nutrition & Dietetics,0,0,2013,PB,Purchase,0,0,1,0,0,0
168,664  JAV,Food processing and preservating,HND-21-RK-2-004,Dr J A Awan,BS-Human Nutrition & Dietetics,0,0,2014,PB,Purchase,0,0,1,0,0,0
169,664  JAV,Food processing and preservating ,HND-21-RK-2-005,Dr J A Awan,BS-Human Nutrition & Dietetics,0,0,2015,PB,Purchase,0,0,1,0,0,0
0,664  JAV,Food Science & Technology ,HND-22-RK-2-001,Dr J A Awan,BS-Human Nutrition & Dietetics,0,0,2018,PB,Purchase,0,0,1,0,0,0
0,664  JAV,Food Science & Technology ,HND-22-RK-2-002,Dr J A Awan,BS-Human Nutrition & Dietetics,0,0,2018,PB,Purchase,0,0,1,0,0,0
172,664  JAV,Food Science & Technology ,HND-22-RK-2-003,Dr J A Awan,BS-Human Nutrition & Dietetics,0,0,2018,PB,Purchase,0,0,1,0,0,0
172,664  JAV,Food Science & Technology ,HND-22-RK-2-003,Dr J A Awan,BS-Human Nutrition & Dietetics,0,0,2018,PB,Purchase,0,0,1,0,0,0
174,664  JAV,Food Science & Technology ,HND-22-RK-2-005,Dr J A Awan,BS-Human Nutrition & Dietetics,0,0,2018,PB,Purchase,0,0,1,0,0,0
175,664.07JAV,Food Analysis Manual,HND-23-RK-2-001,Javaid Aziz Awan,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,0,1,0,0,0
176,664.07JAV,Food Analysis Manual,HND-23-RK-2-002,Javaid Aziz Awan,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,0,1,0,0,0
177,664.07JAV,Food Analysis Manual,HND-23-RK-2-003,Javaid Aziz Awan,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,0,1,0,0,0
178,664.07JAV,Food Analysis Manual,HND-23-RK-2-004,Javaid Aziz Awan,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,0,1,0,0,0
179,664.07JAV,Food Toxicology ,HND-24-RK-2-001,JAAwan FMAnjum,BS-Human Nutrition & Dietetics,0,0,2010,PB,Purchase,0,0,1,0,0,0
180,664.07JAV,Food Toxicology ,HND-24-RK-2-002,JAAwan FMAnjum,BS-Human Nutrition & Dietetics,0,0,2010,PB,Purchase,0,0,1,0,0,0
181,664.07JAV,Food Toxicology ,HND-24-RK-2-003,JAAwan FMAnjum,BS-Human Nutrition & Dietetics,0,0,2010,PB,Purchase,0,0,1,0,0,0
0,664.07JAV,Food Toxicology ,HND-24-RK-2-004,JAAwan FMAnjum,BS-Human Nutrition & Dietetics,0,0,2010,PB,Purchase,0,0,1,0,0,0
183,615.7 PRO,Food Medication Interactions ,HND-25-RK-2-001,Zaneta M Pronsky Sr Jeanne PCrowe,BS-Human Nutrition & Dietetics,0,0,2012,PB,Purchase,0,17th,1,0,0,0
184,615.7 PRO,Food Medication Interactions ,HND-25-RK-2-002,Zaneta M Pronsky Sr Jeanne PCrowe,BS-Human Nutrition & Dietetics,0,0,2012,PB,Purchase,0,17th,1,0,0,0
185,363.19 ENH,Enhancing Food Safety (The Role of the food and Drug Administration ),HND-26-RK-2-001,Catherine W Carnevale Louis J Carson,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,0,1,0,0,0
186,363.19 ENH,Enhancing Food Safety (The Role of the food and Drug Administration ),HND-26-RK-2-002,Catherine W Carnevale Louis J Carson,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,0,1,0,0,0
187,615.7 PRO,Handbook of Drug Nutrient Interactions ,HND-27-RK-2-001,Joseph I Boullata Vincent Armenti,BS-Human Nutrition & Dietetics,0,0,2004,PB,Purchase,0,0,1,0,0,0
188,615.7 PRO,Handbook of Drug Nutrient Interactions,HND-27-RK-2-002,Joseph I Boullata Vincent Armenti,BS-Human Nutrition & Dietetics,0,0,2004,PB,Purchase,0,0,1,0,0,0
189,615.19 TEJ,Davis's Pocket Clinical Drug Reference ,HND-28-RK-2-001,Shamim Tejani Cynthia Sanoski,BS-Human Nutrition & Dietetics,0,0,2009,PB,Purchase,0,0,1,0,0,0
190,615.19 TEJ,Davis's Pocket Clinical Drug Reference ,HND-28-RK-2-002,Shamim Tejani Cynthia Sanoski,BS-Human Nutrition & Dietetics,0,0,2009,PB,Purchase,0,0,1,0,0,0
191,615.19 TEJ,Davis's Pocket Clinical Drug Reference ,HND-28-RK-2-003,Shamim Tejani Cynthia Sanoski,BS-Human Nutrition & Dietetics,0,0,2009,PB,Purchase,0,0,1,0,0,0
192,613.2 WIL,Nutrition for Health Fitness and Sport ,HND-29-RK-2-001,Melvin H Williams,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,7th,1,0,0,0
193,613.2 INT,Introduction Human Nutrition,HND-30-RK-2-001,Michael JGibney Hester H Vorster,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,0,1,0,0,0
195,664 SET,Food Science Experiments and Application ,HND-31-RK-2-001,Mohini Sethi Eram SRao,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,2nd,1,0,0,0
196,613.2 MAT,Food Nutrition & Diet Basic Concepts,HND-32-RK-2-001,Prof Matina Zia,BS-Human Nutrition & Dietetics,Caravan Book House,0,2006,PB,Purchase,0,0,1,0,0,0
197,613.2 MAT,Food Nutrition & Diet Basic Concepts,HND-32-RK-2-002,Prof Matina Zia,BS-Human Nutrition & Dietetics,Caravan Book House,0,2006,PB,Purchase,0,0,1,0,0,0
198,613.2 MAT,Food Nutrition & Diet Basic Concepts,HND-32-RK-2-003,Prof Matina Zia,BS-Human Nutrition & Dietetics,Caravan Book House,0,2006,PB,Purchase,0,0,1,0,0,0
199,0,Nutrition and Dietetics for Health Care,HND-33-RK-2-001,Barker,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,10th,1,0,0,0
200,613.2 GUP,Food and Nutrition Facts & Figures,HND-34-RK-2-001,Dr LG Gupta Dr Kusum Gupta,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,0,1,0,0,0
201,615.9 ANI,Toxicology ,HND-35-RK-2-001,Anis Moosani,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,4th,1,0,0,0
202,647.9 CIC,Managing Service in Food and Beverage Operations,HND-36-RK-2-001,Ronald F Cichy Philip J Hickey JR,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,4th,1,0,0,0
203,613.39 TRA,Trac Elements in Nutrition of Children,HND-37-RK-2-001,KMichael Ananda,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,0,1,0,0,0
204,612.39 SCO,An Atlas of Diabetes Mellitus,HND-38-RK-2-001,IN Scobie,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,0,1,0,0,0
205,616.4 THE,Therapy for Diabetes Mellitus and Related Disorders,HND-39-RK-2-001,Guillermo E Umpierrez,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,6th,1,0,0,0
206,647.9 NIN,Management of Food and Beverage Operations ,HND-40-RK-2-001,Jack D Ninemeier,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,5th,1,0,0,0
207,660.6 THI,Introduction to Biotechnology ,HND-41-RK-2-001,William JThieman Michael A Palladino,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,2nd,1,0,0,0
208,613.2 MAT,"Nutrition for Individual, Family & Community ",HND-42-RK-2-001,Prof Matina Zia,BS-Human Nutrition & Dietetics,Carvan Book House,0,2007,PB,Purchase,350,0,1,0,0,0
209,613.2 MAT,"Nutrition for Individual, Family & Community ",HND-42-RK-2-002,Prof Matina Zia,BS-Human Nutrition & Dietetics,Carvan Book House,0,2007,PB,Purchase,350,0,1,0,0,0
210,613.2 MAT,"Nutrition for Individual, Family & Community ",HND-42-RK-2-003,Prof Matina Zia,BS-Human Nutrition & Dietetics,Carvan Book House,0,2007,PB,Purchase,350,0,1,0,0,0
211,613.2 SHA,Essential of Food & Nutrion ,HND-43-RK-2-001,Shabnam Masih,BS-Human Nutrition & Dietetics,Lotus Publishers,0,2007,PB,Purchase,0,1st,1,0,0,0
212,613.2 SHA,Essential of Food & Nutrion ,HND-43-RK-2-002,Shabnam Masih,BS-Human Nutrition & Dietetics,Lotus Publishers,0,0,PB,Purchase,0,0,1,0,0,0
213,613.2 GUP,Food & Nutrion Facts and Figures ,HND-44-RK-2-001,LC Gupta Kusum Gupta Abhishek Gupta,BS-Human Nutrition & Dietetics,Jaypee Brothers,0,2006,PB,Purchase,0,6th,1,0,0,0
214,613.2 GUP,Food & Nutrion Facts and Figures ,HND-44-RK-2-002,LC Gupta Kusum Gupta Abhishek Gupta,BS-Human Nutrition & Dietetics,Jaypee Brothers,0,2006,PB,Purchase,0,6th,1,0,0,0
215,613.2 GUP,Food & Nutrion Facts and Figures ,HND-44-RK-2-003,LC Gupta Kusum Gupta Abhishek Gupta,BS-Human Nutrition & Dietetics,Jaypee Brothers,0,2006,PB,Purchase,0,6th,1,0,0,0
0,613.2 GUP,Food & Nutrion Facts and Figures ,HND-44-RK-2-004,LC Gupta Kusum Gupta Abhishek Gupta,BS-Human Nutrition & Dietetics,Jaypee Brothers,0,2006,PB,Purchase,0,6th,1,0,0,0
217,613.2 GUP,Food & Nutrion Facts and Figures ,HND-44-RK-2-005,LC Gupta Kusum Gupta Abhishek Gupta,BS-Human Nutrition & Dietetics,Jaypee Brothers,0,2006,PB,Purchase,0,6th,1,0,0,0
218,613.2 GUP,Food & Nutrion Facts and Figures ,HND-44-RK-2-006,LC Gupta Kusum Gupta Abhishek Gupta,BS-Human Nutrition & Dietetics,Jaypee Brothers,0,2006,PB,Purchase,0,6th,1,0,0,0
219,613.2 GUP,Food & Nutrion Facts and Figures ,HND-44-RK-2-007,LC Gupta Kusum Gupta Abhishek Gupta,BS-Human Nutrition & Dietetics,Jaypee Brothers,0,2006,PB,Purchase,0,6th,1,0,0,0
220,613.2 GUP,Food & Nutrion Facts and Figures ,HND-44-RK-2-008,LC Gupta Kusum Gupta Abhishek Gupta,BS-Human Nutrition & Dietetics,Jaypee Brothers,0,2006,PB,Purchase,0,6th,1,0,0,0
221,613.2 GUP,Food & Nutrion Facts and Figures ,HND-44-RK-2-009,LC Gupta Kusum Gupta Abhishek Gupta,BS-Human Nutrition & Dietetics,Jaypee Brothers,0,2006,PB,Purchase,0,6th,1,0,0,0
222,613.2 GUP,Food & Nutrion Facts and Figures ,HND-45-RK-2-001,LC Gupta Kusum Gupta Abhishek Gupta,BS-Human Nutrition & Dietetics,Jaypee Brothers,0,1989,PB,Purchase,0,3,1,0,0,0
223,613.2 GUP,Food & Nutrion Facts and Figures ,HND-45-RK-2-002,LC Gupta Kusum Gupta Abhishek Gupta,BS-Human Nutrition & Dietetics,Jaypee Brothers,0,1989,PB,Purchase,0,3,1,0,0,0
224,613.2 SAM,A Textbook of Nutrition for Nurses (Jaypee Brothers),HND-46-RK-2-001,Molly Sam N Geetha,BS-Human Nutrition & Dietetics,Jaypee Brothers,0,0,PB,Purchase,0,6th,1,0,0,0
225,613.2 SAM,A Textbook of Nutrition for Nurses ,HND-46-RK-2-002,Molly Sam N Geetha,BS-Human Nutrition & Dietetics,Jaypee Brothers,0,2004,PB,Purchase,0,1,1,0,0,0
226,613.2 SAM,A Textbook of Nutrition for Nurses ,HND-46-RK-2-003,Molly Sam N Geetha,BS-Human Nutrition & Dietetics,Jaypee Brothers,0,2004,PB,Purchase,0,1,1,0,0,0
227,613.2 ALF,Food and Nutrition for Nurses ,HND-47-RK-2-001,Dr Simon Alfred,BS-Human Nutrition & Dietetics,Imran Education Publisher,0,0,PB,Purchase,0,1st,1,0,0,0
228,613.2 ALF,Food and Nutrition for Nurses ,HND-47-RK-2-002,Dr Simon Alfred,BS-Human Nutrition & Dietetics,Imran Education Publisher,0,0,PB,Purchase,0,1st,1,0,0,0
229,613.2 ALF,Food and Nutrition for Nurses ,HND-47-RK-2-003,Dr Simon Alfred,BS-Human Nutrition & Dietetics,Imran Education Publisher,0,0,PB,Purchase,0,1st,1,0,0,0
230,613.2 ALF,Food and Nutrition for Nurses ,HND-47-RK-2-004,Dr Simon Alfred,BS-Human Nutrition & Dietetics,Imran Education Publisher,0,0,PB,Purchase,0,1st,1,0,0,0
231,613.2 ALF,Food and Nutrition for Nurses ,HND-47-RK-2-005,Dr Simon Alfred,BS-Human Nutrition & Dietetics,Imran Education Publisher,0,2009,PB,Purchase,0,1st,1,0,0,0
232,613.2 ALF,Food and Nutrition for Nurses ,HND-47-RK-2-006,Dr Simon Alfred,BS-Human Nutrition & Dietetics,Imran Education Publisher,0,2009,PB,Purchase,0,1st,1,0,0,0
233,615.7 HAN,Handbook of Food Drug Interactions  Part-I,HND-48-RK-2-001,Beverly J McCabe Eric H Frankel Jonathan J Wolfe,BS-Human Nutrition & Dietetics,CRC,0,2003,PB,Purchase,0,0,1,0,0,0
234,615.7 HAN,Handbook of Food Drug Interactions  Part-II,HND-49-RK-2-001,Beverly J McCabe Eric H Frankel Jonathan J Wolfe,BS-Human Nutrition & Dietetics,CRC,0,2003,PB,Purchase,0,0,1,0,0,0
235,616.4 TUR,Oxford Handbook of Endocrinology and Diabetes ,HND-50-RK-2-001,Turner Wass,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,0,1,0,0,0
236,615.85 IND,Manual of Nutrition and Therapeutic Diet,HND-51-RK-2-001,TK Indrani,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,2nd,1,0,0,0
237,615.85 IND,Manual of Nutrition and Therapeutic Diet,HND-51-RK-2-002,TK Indrani,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,2nd,1,0,0,0
238,615.85 IND,Manual of Nutrition and Therapeutic Diet,HND-51-RK-2-003,TK Indrani,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,2nd,1,0,0,0
0,0,MCQs Nutrition Officer Guide,HND-52-RK-2-001,Zubaida Ejaz,BS-Human Nutrition & Dietetics,Bhatti Sons Publishers,0,0,PB,Purchase,0,1st,1,0,0,0
240,613.2 ZUB,MCQs Nutrition Officer Guide,HND-52-RK-2-002,Zubaida Ejaz,BS-Human Nutrition & Dietetics,Bhatti Sons Publishers,0,0,PB,Purchase,0,1st,1,0,0,0
241,613.2 UND,Understanding Nutrition ,HND-53-RK-2-001, Frances Sizer & Ellie Whitney,BS-Human Nutrition & Dietetics,0,0,0,PB,Purchase,0,14th,1,0,0,0
242,613.2 GIB,Introduction to Human Nutrition,HND-54-RK-2-001,Michael J Gibney,BS-Human Nutrition & Dietetics,"AIOU, Isd",0,0,PB,Purchase,0,2nd,1,0,0,0
243,362.17 INS,Institutional Management (Medical Food Services),HND-55-RK-2-001,Nomana Anjum,BS-Human Nutrition & Dietetics,Nazco Art Printers. Isd,0,1990,PB,Purchase,0,0,1,0,0,0
244,641.1 NOM,Assistant Food Conroler,HND-56-RK-2-001,Hafiz M Noman Rai M Samran Arif,BS-Human Nutrition & Dietetics,Al-Fouzi Publisher,0,0,PB,Purchase,0,0,1,0,0,0
245,613.2 MAT,Applied Nutrition,HND-57-RK-2-001,Matina Zia,BS-Human Nutrition & Dietetics,Carvan Book House,0,2016,PB,Purchase,0,2nd,1,0,0,0
246,613.2 IQB,NTS School Health Nutrition Supervisor,HND-58-RK-2-001,Rai Muhammad Iqbal Kharal,BS-Human Nutrition & Dietetics,Ilmi Book House,0,2017,PB,Purchase,0,0,1,0,0,0
247,613.2 IOR,NTS School Health Nutrition Supervisor Guide,HND-59-RK-2-001,Muhammad Idrees,BS-Human Nutrition & Dietetics,Dogar's,0,2011,PB,Purchase,0,0,1,0,0,0
